ablation,seed,episode,total_return,episode_length,termination_reason,loss,epsilon
target_hard,0,0,-70.789,61,sleep,0.0,1.0
target_hard,0,1,-34.448,132,crash,78.222816,0.995
target_hard,0,2,-107.526,112,crash,55.806998,0.99
target_hard,0,3,-130.532,94,crash,86.090399,0.9851
target_hard,0,4,-154.194,116,crash,74.296312,0.9801
target_hard,1,0,-378.163,129,crash,5.216976,1.0
target_hard,1,1,-290.734,110,crash,47.947082,0.995
target_hard,1,2,-170.886,111,crash,89.490718,0.99
target_hard,1,3,-137.09,130,sleep,83.852488,0.9851
target_hard,1,4,-242.701,120,crash,75.506566,0.9801
target_hard,2,0,-122.534,111,crash,2.094757,1.0
target_hard,2,1,-303.978,101,crash,72.68791,0.995
target_hard,2,2,-73.171,99,sleep,52.255027,0.99
target_hard,2,3,-403.664,133,crash,34.670549,0.9851
target_hard,2,4,-122.7,136,crash,51.851336,0.9801
target_hard,3,0,-211.029,91,crash,2.277139,1.0
target_hard,3,1,-246.301,98,crash,66.15517,0.995
target_hard,3,2,-99.368,126,crash,61.167825,0.99
target_hard,3,3,-392.937,90,out-of-view,43.332211,0.9851
target_hard,3,4,-124.067,79,crash,53.573146,0.9801
target_hard,4,0,-238.714,99,crash,5.528,1.0
target_hard,4,1,-50.363,132,sleep,30.933239,0.995
target_hard,4,2,-195.67,125,out-of-view,40.65645,0.99
target_hard,4,3,-231.652,81,crash,39.187655,0.9851
target_hard,4,4,-111.772,72,crash,64.309686,0.9801
